Ratio of Nitrogen,Ratio of Phosphorous,Ratio of Potassium,Temperature,Humidity,ph Value,Rainfall,Label
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,chickpea
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,chickpea
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea
25,71,24,28.49538735,60.44848407,7.187721818,74.91559514,blackgram
52,71,16,27.74274761,68.53997144,7.075886472,71.78615328,blackgram
18,27,41,22.36509395,92.30882391,7.175344328,104.8216333,pomegranate
91,7,53,25.13735887,89.28272716,6.457216535,43.52897517,watermelon
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,banana
12,19,31,27.25373364,52.66319725,5.566704378,91.87312479,mango
4,136,204,29.93707596,81.77713468,5.898944282,65.52279323,grapes
